4KHz X(mg),Y(mg),Z(mg)
-3.87,2.30,-3.36
-1.25,1.72,-1.91
1.62,-1.39,-0.90
2.11,-1.21,-1.56
1.56,1.35,-2.83
0.31,4.00,-1.43
-0.62,-0.61,2.46
0.66,-1.89,2.23
-1.39,2.05,-1.76
1.07,-1.89,-0.31
0.00,0.06,1.66
0.53,4.10,1.37
-0.21,7.05,2.11
2.56,5.35,0.39
1.91,4.41,1.80
-0.61,0.37,1.60
-2.01,-4.32,0.41
-1.80,-4.79,-1.35
-2.70,-5.53,-0.98
0.00,-5.04,2.21
-1.43,-0.82,1.95
0.86,2.40,-0.08
1.87,2.54,-1.37
1.00,3.63,-0.43
-0.29,1.91,-2.01
-1.60,0.72,-0.78
-0.53,-3.24,0.35
2.29,-0.53,1.29
2.48,1.33,0.62
-0.76,-0.27,-1.50
-0.39,1.17,-2.81
-0.14,-1.33,-0.98
0.49,-2.07,-1.02
1.09,1.76,-2.93
0.31,3.32,-2.46
-3.28,2.81,0.70
-2.23,1.27,1.00
1.52,0.10,0.31
2.62,1.72,-2.09
3.44,0.90,-0.06
0.45,0.59,-0.31
-0.43,1.58,-0.43
0.72,2.05,-0.35
-2.50,2.05,-1.35
-4.55,2.85,-1.93
-1.11,3.20,-2.03
-0.86,-0.14,-0.72
-1.02,2.15,-2.97
-0.41,2.89,1.21
0.59,2.03,2.66
-0.39,2.27,-0.37
-2.19,2.52,-0.23
0.82,1.66,-1.74
2.70,-1.19,-2.01
2.38,0.41,-0.51
1.31,3.20,3.12
0.41,0.94,3.14
3.03,-2.48,1.52
3.16,-3.11,0.41
2.52,-0.82,-2.15
1.23,-0.57,-0.35
0.62,-1.78,-1.52
1.97,0.43,-3.44
-0.61,4.26,-0.27
0.43,2.30,1.02
0.00,1.00,0.21
1.23,0.82,-0.43
2.42,2.81,-0.88
1.39,4.69,-1.41
-0.57,3.16,1.95
-0.14,-1.70,0.45
-0.92,-0.47,-1.60
-0.82,-0.18,-1.05
1.80,0.23,-0.90
1.07,1.37,0.02
2.97,0.12,-1.19
3.05,-4.73,-3.12
-2.42,-0.47,-1.41
-0.68,5.16,0.49
-1.56,1.80,2.13
-1.31,-0.90,-0.14
-1.82,0.18,-1.56
-2.73,-1.43,0.08
-3.44,0.80,0.43
-0.78,0.27,-2.13
1.41,-4.24,-2.52
-0.25,2.05,-2.19
-2.75,0.23,-0.72
-2.75,-3.61,0.25
0.51,-0.27,0.64
-0.47,0.88,-0.47
0.10,-0.41,-1.17
0.61,0.80,4.02
-1.68,3.18,1.82
-0.08,0.49,0.80
-0.25,-1.56,-0.12
0.43,-1.00,1.50
-0.57,-1.48,1.52
-0.86,1.05,0.74
-2.42,-0.78,1.07
-1.43,0.25,2.34
-2.29,1.17,2.34
1.15,0.25,1.31
0.16,0.62,-0.41
1.45,0.10,0.02
3.42,0.25,2.60
0.53,1.72,2.87
-0.88,-0.18,1.43
-1.99,0.66,-1.93
-0.68,-2.66,-0.31
-1.31,-3.24,0.23
-0.94,-3.61,-0.10
-0.61,-1.74,-1.17
-2.23,0.47,-1.78
-1.46,0.84,-0.82
-0.04,1.70,-3.85
-1.02,0.57,-1.58
-0.49,0.62,-2.05
-0.51,-2.29,-1.89
0.57,-3.14,-1.19
1.56,-1.82,-2.07
0.20,0.41,1.29
-3.34,2.03,1.58
-0.90,0.82,0.00
1.13,1.72,-0.57
0.10,-0.25,0.82
-0.74,-0.23,1.66
-1.35,-1.00,-2.11
-0.25,1.37,-2.77
-0.70,-1.97,3.38
2.03,1.33,1.23
1.37,0.08,-0.76
-1.02,-0.59,0.29
-1.33,-1.02,-0.74
-0.88,-0.29,1.50
1.35,0.41,0.82
-0.82,-0.61,-2.25
-0.55,-1.17,-1.76
-1.97,-2.19,-3.87
-0.61,-0.31,-1.33
0.94,1.04,0.78
0.53,-3.30,0.14
0.12,-0.20,0.18
-0.62,-4.47,1.15
-0.23,-3.28,2.77
1.29,-4.80,0.72
1.64,-3.81,0.10
-2.13,-1.00,0.04
-2.40,-0.20,-1.09
-0.25,3.63,-0.76
1.46,3.16,0.72
0.33,-3.05,-0.08
1.17,-3.63,-0.04
1.68,-3.07,-1.72
1.58,-1.52,-2.46
0.96,1.66,2.75
0.84,0.82,2.68
-2.44,2.17,0.90
-1.48,1.23,2.71
0.55,1.17,-0.31
0.16,-1.62,1.07
0.96,-1.27,2.40
-1.43,1.29,1.62
-3.11,4.34,0.88
-1.27,1.04,1.58
2.27,-0.90,-2.09
0.78,0.39,-1.41
-1.00,0.55,-1.29
-1.05,-0.53,-0.86
-2.15,-1.35,-0.37
-2.05,0.96,-0.16
-0.49,-2.13,0.80
-2.50,-0.45,1.58
0.49,-1.13,-2.34
2.25,1.80,-2.15
2.15,-2.60,-0.51
-0.23,0.21,0.72
-0.86,1.21,1.76
0.45,1.54,5.02
-0.41,-2.27,3.48
-2.54,-4.06,0.53
-1.48,-3.81,2.83
-1.02,-2.75,2.95
1.84,3.01,-0.08
1.25,3.83,-3.26
2.25,1.95,-2.42
0.59,1.97,-0.35
-2.17,-0.04,0.68
-1.27,1.84,1.48
-1.31,3.26,4.45
-0.06,-2.68,2.68
0.49,-1.74,1.00
0.74,3.46,-0.66
-1.60,-0.02,-0.76
0.41,-1.76,-1.02
1.70,2.75,1.80
3.18,5.41,1.58
4.51,3.14,0.27
3.16,2.01,1.31
1.89,3.93,2.09
0.16,1.17,0.10
-0.47,2.01,1.99
1.35,2.64,0.20
1.02,2.87,0.08
-1.50,3.50,0.23
-1.62,0.80,2.40
-0.37,-0.98,2.27
-2.66,-0.70,-0.12
-0.23,1.62,-3.48
0.06,0.31,-1.78
-1.17,-1.62,0.94
-1.05,-0.78,-0.90
-2.11,4.49,-1.60
-0.20,2.85,2.09
0.78,1.52,2.07
-0.33,0.90,1.33
-3.38,-1.11,0.62
1.74,-1.29,4.77
2.85,0.78,2.52
2.34,1.27,-0.33
0.27,1.62,-1.07
0.66,0.02,2.17
0.86,-4.67,1.78
0.49,-0.57,0.08
0.27,2.62,-1.13
1.58,2.52,1.39
-2.58,0.25,-3.11
-2.71,-1.80,-4.00
1.17,-2.27,1.02
1.19,-1.86,-0.41
0.41,1.46,-1.11
0.72,2.15,1.21
2.83,3.46,-0.80
0.00,5.82,1.21
-0.25,3.61,3.18
1.82,4.90,1.43
0.96,1.89,1.37
0.64,-1.54,0.10
0.70,1.35,0.64
1.78,2.44,-2.01
0.02,-0.57,-1.13
3.52,-2.05,0.70
2.64,-1.21,2.25
-1.56,1.39,3.42
-0.64,1.72,0.57
-3.57,4.43,1.13
-2.40,3.63,2.17
0.51,0.20,2.03
-0.82,-0.68,0.45
0.49,0.70,1.45
1.95,-0.18,-0.55
3.34,-3.28,-2.34
1.62,-1.80,-4.43
-1.19,2.62,-3.95
0.82,-0.51,2.32
2.48,-2.66,3.71
-0.49,3.12,4.04
-0.53,0.98,0.94
0.12,-0.51,0.04
1.25,0.47,1.23
-0.96,-3.34,1.11
1.07,-0.57,0.39
2.60,3.61,-1.68
4.49,0.78,0.80
0.51,0.04,-2.13
-2.62,-1.19,-0.94
-2.77,-2.32,-1.35
-1.60,1.37,0.23
0.00,2.93,1.48
-0.64,0.82,-0.21
-1.17,-1.52,1.76
-1.27,-3.95,1.33
0.74,-1.09,1.00
3.50,0.57,1.84
0.84,-1.52,1.84
-3.55,-3.75,0.02
-4.34,-5.96,-0.12
-2.01,-7.70,0.72
-2.13,-2.70,-0.66
2.21,-1.74,0.23
1.74,0.62,1.80
2.46,3.16,1.35
3.81,3.69,2.36
2.91,4.37,3.24
2.54,5.06,2.73
2.05,0.82,0.35
3.77,-1.95,0.45
1.58,-0.74,-0.94
-0.23,0.80,2.54
-0.39,-0.16,-2.03
-0.18,0.98,-3.69
-2.50,-1.25,-1.25
-2.89,0.88,-3.57
-0.02,1.87,-5.57
3.03,-2.07,-3.24
1.35,0.78,-2.79
0.61,0.80,1.93
0.12,0.68,-0.25
0.04,2.79,-0.90
1.00,1.35,0.18
0.31,0.37,-1.17
-0.84,0.12,-2.30
-1.76,-2.21,-0.47
-0.21,-0.31,-0.53
2.32,0.64,1.99
1.39,-2.29,0.12
1.50,-2.23,1.13
0.39,-1.43,2.44
1.62,0.45,6.13
0.35,1.97,4.22
-0.31,-0.59,-0.12
0.20,1.48,-0.78
0.20,2.52,-0.35
0.04,-0.25,-1.05
0.72,-3.05,-0.39
2.11,0.53,-1.25
0.84,2.83,0.78
-0.61,0.82,0.66
0.98,-3.05,0.27
0.45,1.21,-1.19
-2.87,1.27,-1.45
-3.46,2.36,2.83
-1.45,2.95,-2.68
-0.04,1.29,-3.50
-0.27,-4.80,0.33
-0.98,-4.18,-1.17
-0.61,-4.53,-3.26
-0.64,-4.32,-1.66
1.80,0.00,0.12
2.60,-0.37,0.64
0.33,1.17,-1.29
-0.82,0.64,-0.98
-1.00,1.41,0.21
0.62,1.39,1.48
-1.50,1.39,-0.53
0.68,0.43,3.61
3.24,-1.87,3.85
0.98,-3.22,1.74
1.78,0.25,-1.72
-1.56,0.86,-4.16
-3.01,-3.32,-2.03
-1.46,-3.77,-0.86
-0.59,-0.16,-1.54
0.16,-1.74,2.01
0.94,-3.46,-2.17
0.12,-4.20,0.39
-0.51,-2.23,0.21
1.17,-3.11,-2.95
-1.04,2.11,-2.58
-1.82,4.84,-2.93
0.82,-0.29,-2.50
2.87,-2.66,-2.03
2.81,-2.60,1.37
2.81,-2.32,3.81
1.11,0.10,3.11
-1.19,-2.83,2.01
-0.66,-2.27,2.32
-2.05,-2.21,0.78
-0.39,-1.13,-0.68
-2.21,-2.36,-0.70
-2.66,0.41,-1.31
-3.44,-0.27,1.66
-2.50,-1.70,0.72
-2.01,0.21,-0.84
0.06,-0.49,1.58
2.87,3.67,2.38
2.34,2.52,0.47
1.11,0.12,1.33
1.37,2.17,3.24
-2.07,0.20,0.08
-1.04,-2.01,1.13
1.19,-1.54,-0.86
1.52,0.12,0.33
-0.33,2.42,2.62
-1.33,1.72,0.55
0.29,0.76,0.06
-1.09,-0.68,-0.68
-0.02,-2.03,-0.66
-0.62,-2.95,0.20
0.76,-0.47,2.21
-2.32,2.58,1.35
-4.61,0.35,-1.15
-3.26,-1.46,-5.06
1.15,-2.19,-2.36
2.07,-2.50,-3.28
-1.46,-0.02,-2.34
-2.66,-2.30,1.11
-0.94,0.49,2.66
0.37,-0.92,0.55
0.57,-0.12,-2.25
-2.01,-2.93,-0.39
-3.69,-2.56,-1.97
-0.82,-0.25,-1.29
-0.41,1.80,-0.27
-1.68,3.14,0.53
-1.86,1.31,0.39
-0.47,2.89,1.58
0.72,3.87,0.64
0.39,2.50,1.13
2.07,2.11,0.35
1.56,0.78,0.68
0.86,2.91,0.55
-0.45,0.96,2.05
-2.09,1.29,0.57
-1.86,1.37,2.25
-0.47,0.76,2.19
0.57,4.30,2.29
1.62,2.15,-0.43
2.48,-3.65,-0.02
2.48,-6.05,-2.97
3.79,-5.66,-3.73
3.14,0.39,-3.67
2.13,4.20,-3.79
1.31,-0.25,-2.77
-0.35,-2.32,-0.96
0.37,-1.15,0.27
0.88,2.50,0.82
2.03,2.19,0.35
0.55,4.82,-1.70
0.41,-1.19,-0.94
-0.92,-6.13,1.78
-0.27,-3.87,2.91
0.84,-2.34,1.46
-0.80,-1.21,2.40
-1.97,-0.70,-0.29
-1.50,0.57,-3.44
0.14,3.16,3.22
0.82,2.68,2.85
1.58,-0.72,0.74
-2.81,-0.37,1.27
-2.75,-0.27,1.70
-0.72,-4.10,3.77
4.45,-4.73,3.22
3.55,1.64,2.29
1.62,1.27,-1.04
2.52,3.09,0.02
1.91,2.34,0.88
1.62,2.97,0.39
-0.35,-2.27,0.68
1.13,0.23,-2.66
0.31,0.39,-1.50
-1.41,-1.11,3.14
-3.44,-0.31,3.18
-1.27,3.87,-1.29
2.23,1.62,0.51
2.17,-0.82,-3.11
-1.52,-0.39,-2.75
0.33,-0.16,0.72
-1.35,-0.10,-0.27
-0.66,0.20,-1.00
-3.91,-0.86,-3.63
-3.22,-2.64,2.42
-1.15,-1.29,1.09
-0.61,0.94,-1.45
1.25,1.84,-1.05
-1.66,0.64,-1.25
-3.52,0.70,-1.86
-2.52,-0.78,-1.52
-1.62,-1.39,-4.43
0.31,0.21,-5.06
-1.05,-2.09,0.80
-0.43,-0.76,1.02
-2.01,-0.43,-3.11
-2.93,2.62,-1.58
-1.72,4.30,-0.86
-1.45,0.18,-0.76
0.41,-0.31,-0.21
-0.96,2.40,1.97
0.47,2.95,0.16
-0.51,0.64,-0.51
0.14,1.23,-1.78
-1.41,2.50,0.31
-0.92,-0.49,1.27
-0.64,-0.39,-2.42
-2.19,2.34,-0.82
0.92,1.84,1.25
-0.59,0.43,0.68
1.11,1.80,3.03
1.58,3.46,-1.37
-0.45,1.60,-3.69
-2.75,-0.70,-2.07
-2.01,-8.85,-0.80
-0.51,-5.35,0.29
0.49,3.57,-1.99
1.11,1.56,0.53
3.01,-6.19,0.14
-0.90,-3.59,-0.39
-3.09,-1.78,-2.15
-0.92,-0.70,-0.68
-0.21,0.53,-4.69
2.11,-0.62,-3.34
0.25,-2.75,-2.93
2.75,-5.64,2.66
-2.01,1.19,0.27
-1.35,2.50,-2.93
1.21,2.29,-2.34
1.78,0.37,-1.45
-1.09,-1.48,-2.21
0.96,-1.43,-3.98
0.43,-1.29,0.00
-1.99,2.27,-0.27
-1.07,1.35,-1.48
1.07,-0.88,-0.92
0.72,1.39,0.49
1.07,-1.78,0.49
1.17,-0.16,0.31
2.11,-0.27,1.74
-0.86,-2.85,3.75
-1.27,-0.35,1.04
-0.27,2.83,0.12
0.61,-0.51,2.30
1.19,1.19,1.99
0.62,2.93,2.32
3.79,-0.78,3.20
2.50,-0.98,1.91
2.11,0.23,2.19
1.50,-4.57,-0.33
-0.61,-4.92,-0.68
2.25,-2.97,0.98
-0.31,-0.82,2.99
2.38,3.75,-0.47
1.15,1.31,0.18
-0.08,1.95,4.14
1.05,-1.21,4.16
0.12,-1.66,2.70
-1.66,-0.14,0.14
-2.38,-1.46,1.54
0.98,1.17,0.61
-0.12,-0.10,0.27
-0.41,-1.74,0.02
0.88,-5.76,1.19
-0.18,-4.39,-2.17
0.39,-2.70,-4.77
-0.70,-1.52,-3.93
-2.50,-1.07,-2.77
-2.83,-1.97,-1.80
-1.45,3.11,-0.64
-1.66,4.08,-3.77
0.12,4.08,-0.37
-0.45,1.87,0.82
-0.27,-1.70,-0.66
0.96,-2.44,-1.91
0.72,-1.31,-0.88
-0.14,-0.49,-1.80
-0.47,1.23,-5.02
0.00,0.25,-2.70
1.72,4.36,-1.50
2.48,0.43,-0.20
2.27,-0.72,1.52
2.71,0.57,1.19
-0.74,0.90,0.33
-0.80,-0.62,1.37
0.35,0.61,-1.82
0.39,-3.69,-2.99
0.27,-0.45,-1.64
-0.35,0.39,-3.89
1.80,2.54,-1.15
-0.31,1.31,-1.91
-3.46,0.64,-3.01
-2.68,-0.23,-3.42
-1.60,1.50,-2.34
-3.52,2.70,-0.66
-0.25,0.76,3.57
1.97,-0.92,3.18
-2.30,0.16,0.68
0.61,-1.46,-2.27
0.53,-1.78,-1.04
1.52,-2.99,0.90
-1.87,-1.29,0.02
-0.08,0.21,-1.00
-1.04,2.64,2.95
-0.88,1.87,2.09
-0.35,2.99,-0.49
1.05,5.37,-4.63
4.90,2.58,0.70
2.70,-2.25,1.70
1.86,-2.79,2.15
-0.02,-0.61,1.78
-3.01,1.70,3.07
-1.21,-1.39,-0.84
2.38,-2.54,-1.25
4.47,0.84,1.41
1.43,-1.62,-1.15
-0.88,1.04,-4.45
-1.80,1.31,0.18
-1.35,3.79,2.89
2.73,2.30,2.19
2.11,-0.02,1.43
1.35,1.43,0.78
0.64,5.31,-2.56
0.53,1.35,-1.76
-1.00,-2.03,0.90
0.18,-2.40,3.69
1.91,1.45,4.41
1.09,-2.40,2.79
0.96,-2.01,0.66
0.86,-1.25,-1.87
2.32,2.01,-0.78
2.87,4.18,-1.13
1.31,1.68,1.19
2.75,-3.83,2.85
0.86,-3.93,-2.60
-0.18,-0.53,-2.01
-0.70,-2.36,0.14
-0.59,-1.54,1.02
-1.27,0.27,0.70
1.60,-1.70,2.36
1.23,-1.23,1.64
-1.41,-3.91,2.25
0.74,-4.16,3.81
0.45,2.09,0.94
2.19,4.61,-2.05
-0.41,2.25,-0.64
1.09,0.96,5.70
1.76,0.21,4.43
0.14,-1.21,2.01
-3.07,-2.36,-1.02
-0.21,-0.51,0.04
1.41,0.27,-0.51
0.41,1.56,-0.37
-0.10,1.54,1.64
-0.53,1.99,3.63
-1.74,2.05,0.37
-1.13,2.40,-2.66
3.09,-1.50,-2.42
0.92,1.33,-2.38
1.76,5.92,-2.11
1.87,4.26,-5.90
-0.43,-2.11,-3.42
-0.90,-2.73,-0.43
0.39,2.71,2.89
-1.37,1.91,3.28
-1.84,2.34,1.27
1.09,2.38,1.82
1.45,-1.37,-0.16
-0.45,-1.21,-0.88
-1.82,0.92,-3.16
-0.61,-0.47,-0.21
0.72,-2.56,0.70
1.95,-1.54,1.39
0.96,0.49,0.70
0.74,0.98,1.58
0.12,0.49,-2.70
-0.98,-0.82,0.57
-0.98,-0.31,1.15
0.06,0.45,0.76
0.25,1.60,1.19
1.58,2.97,0.66
-0.33,3.98,2.03
-0.39,1.19,2.85
0.29,-0.92,1.27
0.10,-0.45,0.04
0.00,-0.08,-0.53
-1.25,-2.77,1.29
0.12,-0.20,0.21
-0.29,-0.23,-3.24
1.58,-0.84,-0.37
0.98,-0.33,0.76
-0.98,1.27,0.88
-0.43,-0.47,2.97
0.47,1.68,1.86
1.04,2.13,-1.45
0.55,4.34,0.39
-1.56,1.56,2.03
1.25,1.91,0.33
-0.43,0.66,1.21
-1.78,-0.18,-0.12
-1.21,-2.77,-1.70
-3.28,-5.00,-2.50
-3.93,-0.86,0.86
-2.38,0.94,3.73
-0.16,2.29,2.25
-0.14,0.37,1.70
-1.95,-1.86,0.98
-2.09,-0.18,-2.71
-2.95,-0.25,-1.70
-3.95,3.22,-1.11
-2.97,1.70,-0.72
-3.91,1.23,-0.41
-1.05,-1.91,-2.42
-2.01,-3.44,-1.62
-1.35,0.62,-1.68
-0.59,-1.23,-0.84
1.25,-0.80,-1.07
2.27,0.14,1.62
2.50,-1.13,0.04
1.80,1.76,2.34
0.27,0.43,1.82
-1.64,-1.89,-0.41
-1.97,-0.76,-2.75
-1.58,3.95,-2.58
-0.21,1.37,-1.70
0.57,1.56,-1.76
-1.95,3.28,-1.15
-0.68,4.39,-0.25
-2.77,1.07,-1.19
-3.03,1.07,0.35
-2.30,-0.14,-0.14
-3.12,-3.16,1.48
-0.88,-3.03,0.53
4.00,3.83,0.06
1.45,3.67,2.13
2.09,-0.06,0.49
3.42,-1.23,-2.30
2.83,-2.83,-2.42
1.91,-3.34,0.08
1.54,-1.66,1.52
